Start Time: 16:09:36
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=60, hl_margins=(6, 0) 
run_features=True, with: is_hl=True , specific_blendshapes=True 
linear_regression, LeaveOneClipOutForEachSubject, pca2, valence    , True, True, 0.162, 0.000, 0.026
ridge            , LeaveOneClipOutForAllSubject, pca5, arousal    , True, True, 0.124, 0.007, 0.015
linear_regression, LeaveOneClipOutForAllSubject, pca6, arousal    , True, True, 0.090, 0.052, -0.012
ridge            , LeaveOneClipOutForAllSubject, pca6, arousal    , True, True, 0.106, 0.021, 0.010
linear_regression, LeaveOneClipOutForAllSubject, pca7, arousal    , True, True, 0.091, 0.048, -0.015
ridge            , LeaveOneClipOutForAllSubject, pca7, arousal    , True, True, 0.109, 0.018, 0.011
linear_regression, LeaveOneClipOutForAllSubject, pca8, arousal    , True, True, 0.090, 0.051, -0.019
ridge            , LeaveOneClipOutForAllSubject, pca8, arousal    , True, True, 0.108, 0.019, 0.010
linear_regression, LeaveOneClipOutForAllSubject, pca9, arousal    , True, True, 0.083, 0.074, -0.025
ridge            , LeaveOneClipOutForAllSubject, pca9, arousal    , True, True, 0.101, 0.029, 0.008
linear_regression, LeaveOneClipOutForAllSubject, pca2, likeability, True, True, 0.044, 0.339, -0.006
ridge            , LeaveOneClipOutForAllSubject, pca2, likeability, True, True, 0.028, 0.540, -0.001
linear_regression, LeaveOneClipOutForAllSubject, pca3, likeability, True, True, 0.042, 0.361, -0.010
ridge            , LeaveOneClipOutForAllSubject, pca3, likeability, True, True, 0.025, 0.586, -0.002
linear_regression, LeaveOneClipOutForAllSubject, pca4, likeability, True, True, 0.116, 0.012, 0.005
ridge            , LeaveOneClipOutForAllSubject, pca4, likeability, True, True, 0.116, 0.012, 0.013
linear_regression, LeaveOneClipOutForAllSubject, pca5, likeability, True, True, 0.088, 0.056, -0.007
ridge            , LeaveOneClipOutForAllSubject, pca5, likeability, True, True, 0.091, 0.049, 0.008
linear_regression, LeaveOneClipOutForAllSubject, pca6, likeability, True, True, 0.085, 0.068, -0.012
ridge            , LeaveOneClipOutForAllSubject, pca6, likeability, True, True, 0.087, 0.061, 0.007
linear_regression, LeaveOneClipOutForAllSubject, pca7, likeability, True, True, 0.145, 0.002, 0.006
ridge            , LeaveOneClipOutForAllSubject, pca7, likeability, True, True, 0.143, 0.002, 0.020
linear_regression, LeaveOneClipOutForAllSubject, pca8, likeability, True, True, 0.169, 0.000, 0.014
ridge            , LeaveOneClipOutForAllSubject, pca8, likeability, True, True, 0.167, 0.000, 0.027
linear_regression, LeaveOneClipOutForAllSubject, pca9, likeability, True, True, 0.154, 0.001, 0.005
ridge            , LeaveOneClipOutForAllSubject, pca9, likeability, True, True, 0.153, 0.001, 0.023
linear_regression, LeaveOneClipOutForAllSubject, pca2, rewatch    , True, True, 0.107, 0.021, 0.008
ridge            , LeaveOneClipOutForAllSubject, pca2, rewatch    , True, True, 0.100, 0.031, 0.010
linear_regression, LeaveOneClipOutForAllSubject, pca3, rewatch    , True, True, 0.101, 0.029, 0.003
ridge            , LeaveOneClipOutForAllSubject, pca3, rewatch    , True, True, 0.097, 0.036, 0.009
linear_regression, LeaveOneClipOutForAllSubject, pca4, rewatch    , True, True, 0.159, 0.001, 0.020
ridge            , LeaveOneClipOutForAllSubject, pca4, rewatch    , True, True, 0.164, 0.000, 0.026
linear_regression, LeaveOneClipOutForAllSubject, pca5, rewatch    , True, True, 0.137, 0.003, 0.009
ridge            , LeaveOneClipOutForAllSubject, pca5, rewatch    , True, True, 0.145, 0.002, 0.021
linear_regression, LeaveOneClipOutForAllSubject, pca6, rewatch    , True, True, 0.141, 0.002, 0.007
ridge            , LeaveOneClipOutForAllSubject, pca6, rewatch    , True, True, 0.148, 0.001, 0.022
linear_regression, LeaveOneClipOutForAllSubject, pca7, rewatch    , True, True, 0.190, 0.000, 0.025
ridge            , LeaveOneClipOutForAllSubject, pca7, rewatch    , True, True, 0.194, 0.000, 0.036
linear_regression, LeaveOneClipOutForAllSubject, pca8, rewatch    , True, True, 0.207, 0.000, 0.032
ridge            , LeaveOneClipOutForAllSubject, pca8, rewatch    , True, True, 0.210, 0.000, 0.042
linear_regression, LeaveOneClipOutForAllSubject, pca9, rewatch    , True, True, 0.195, 0.000, 0.024
ridge            , LeaveOneClipOutForAllSubject, pca9, rewatch    , True, True, 0.200, 0.000, 0.039
linear_regression, LeaveOneSubjOut, pca2, valence    , True, True, 0.061, 0.191, -0.002
ridge            , LeaveOneSubjOut, pca2, valence    , True, True, 0.059, 0.200, 0.003
linear_regression, LeaveOneSubjOut, pca3, valence    , True, True, 0.071, 0.123, -0.005
ridge            , LeaveOneSubjOut, pca3, valence    , True, True, 0.074, 0.108, 0.006
linear_regression, LeaveOneSubjOut, pca4, valence    , True, True, 0.133, 0.004, 0.007
ridge            , LeaveOneSubjOut, pca4, valence    , True, True, 0.145, 0.002, 0.020
linear_regression, LeaveOneSubjOut, pca5, valence    , True, True, 0.108, 0.019, -0.007
ridge            , LeaveOneSubjOut, pca5, valence    , True, True, 0.125, 0.007, 0.016
linear_regression, LeaveOneSubjOut, pca6, valence    , True, True, 0.101, 0.029, -0.016
ridge            , LeaveOneSubjOut, pca6, valence    , True, True, 0.118, 0.011, 0.014
linear_regression, LeaveOneSubjOut, pca7, valence    , True, True, 0.132, 0.004, -0.015
ridge            , LeaveOneSubjOut, pca7, valence    , True, True, 0.148, 0.001, 0.022
linear_regression, LeaveOneSubjOut, pca8, valence    , True, True, 0.153, 0.001, -0.008
ridge            , LeaveOneSubjOut, pca8, valence    , True, True, 0.165, 0.000, 0.027
linear_regression, LeaveOneSubjOut, pca9, valence    , True, True, 0.138, 0.003, -0.023
ridge            , LeaveOneSubjOut, pca9, valence    , True, True, 0.152, 0.001, 0.023
linear_regression, LeaveOneSubjOut, pca2, arousal    , True, True, 0.145, 0.002, 0.018
ridge            , LeaveOneSubjOut, pca2, arousal    , True, True, 0.157, 0.001, 0.023
linear_regression, LeaveOneSubjOut, pca3, arousal    , True, True, 0.150, 0.001, 0.018
ridge            , LeaveOneSubjOut, pca3, arousal    , True, True, 0.161, 0.000, 0.025
linear_regression, LeaveOneSubjOut, pca4, arousal    , True, True, 0.143, 0.002, 0.013
ridge            , LeaveOneSubjOut, pca4, arousal    , True, True, 0.157, 0.001, 0.024
linear_regression, LeaveOneSubjOut, pca5, arousal    , True, True, 0.139, 0.003, 0.009
ridge            , LeaveOneSubjOut, pca5, arousal    , True, True, 0.159, 0.001, 0.025
linear_regression, LeaveOneSubjOut, pca6, arousal    , True, True, 0.126, 0.006, 0.002
ridge            , LeaveOneSubjOut, pca6, arousal    , True, True, 0.149, 0.001, 0.022
linear_regression, LeaveOneSubjOut, pca7, arousal    , True, True, 0.120, 0.010, -0.006
ridge            , LeaveOneSubjOut, pca7, arousal    , True, True, 0.145, 0.002, 0.021
linear_regression, LeaveOneSubjOut, pca8, arousal    , True, True, 0.126, 0.006, -0.006
ridge            , LeaveOneSubjOut, pca8, arousal    , True, True, 0.151, 0.001, 0.023
linear_regression, LeaveOneSubjOut, pca9, arousal    , True, True, 0.120, 0.009, -0.010
ridge            , LeaveOneSubjOut, pca9, arousal    , True, True, 0.145, 0.002, 0.021
linear_regression, LeaveOneSubjOut, pca2, likeability, True, True, 0.067, 0.146, -0.000
ridge            , LeaveOneSubjOut, pca2, likeability, True, True, 0.069, 0.138, 0.005
linear_regression, LeaveOneSubjOut, pca3, likeability, True, True, 0.057, 0.220, -0.008
ridge            , LeaveOneSubjOut, pca3, likeability, True, True, 0.061, 0.187, 0.004
linear_regression, LeaveOneSubjOut, pca4, likeability, True, True, 0.124, 0.007, 0.005
ridge            , LeaveOneSubjOut, pca4, likeability, True, True, 0.139, 0.003, 0.019
linear_regression, LeaveOneSubjOut, pca5, likeability, True, True, 0.094, 0.041, -0.010
ridge            , LeaveOneSubjOut, pca5, likeability, True, True, 0.113, 0.014, 0.013
linear_regression, LeaveOneSubjOut, pca6, likeability, True, True, 0.087, 0.060, -0.020
ridge            , LeaveOneSubjOut, pca6, likeability, True, True, 0.106, 0.022, 0.011
linear_regression, LeaveOneSubjOut, pca7, likeability, True, True, 0.131, 0.005, -0.015
ridge            , LeaveOneSubjOut, pca7, likeability, True, True, 0.149, 0.001, 0.022
linear_regression, LeaveOneSubjOut, pca8, likeability, True, True, 0.157, 0.001, -0.006
ridge            , LeaveOneSubjOut, pca8, likeability, True, True, 0.174, 0.000, 0.030
linear_regression, LeaveOneSubjOut, pca9, likeability, True, True, 0.143, 0.002, -0.020
ridge            , LeaveOneSubjOut, pca9, likeability, True, True, 0.162, 0.000, 0.026
linear_regression, LeaveOneSubjOut, pca2, rewatch    , True, True, 0.124, 0.007, 0.013
ridge            , LeaveOneSubjOut, pca2, rewatch    , True, True, 0.129, 0.005, 0.015
linear_regression, LeaveOneSubjOut, pca3, rewatch    , True, True, 0.112, 0.015, 0.006
ridge            , LeaveOneSubjOut, pca3, rewatch    , True, True, 0.124, 0.007, 0.015
linear_regression, LeaveOneSubjOut, pca4, rewatch    , True, True, 0.163, 0.000, 0.018
ridge            , LeaveOneSubjOut, pca4, rewatch    , True, True, 0.180, 0.000, 0.031
linear_regression, LeaveOneSubjOut, pca5, rewatch    , True, True, 0.137, 0.003, 0.004
ridge            , LeaveOneSubjOut, pca5, rewatch    , True, True, 0.160, 0.000, 0.025
linear_regression, LeaveOneSubjOut, pca6, rewatch    , True, True, 0.137, 0.003, -0.002
ridge            , LeaveOneSubjOut, pca6, rewatch    , True, True, 0.159, 0.001, 0.025
linear_regression, LeaveOneSubjOut, pca7, rewatch    , True, True, 0.175, 0.000, 0.006
ridge            , LeaveOneSubjOut, pca7, rewatch    , True, True, 0.198, 0.000, 0.038
linear_regression, LeaveOneSubjOut, pca8, rewatch    , True, True, 0.194, 0.000, 0.012
ridge            , LeaveOneSubjOut, pca8, rewatch    , True, True, 0.216, 0.000, 0.045
linear_regression, LeaveOneSubjOut, pca9, rewatch    , True, True, 0.178, 0.000, -0.003
ridge            , LeaveOneSubjOut, pca9, rewatch    , True, True, 0.205, 0.000, 0.041
Start Time: 16:56:30
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=60, hl_margins=(3, 0) 
run_features=True, with: is_hl=True , specific_blendshapes=True 
linear_regression, LeaveOneClipOutForEachSubject, pca2, valence    , True, True, 0.192, 0.000, 0.036
ridge            , LeaveOneClipOutForEachSubject, pca2, valence    , True, True, 0.178, 0.000, 0.026
linear_regression, LeaveOneClipOutForEachSubject, pca3, valence    , True, True, 0.184, 0.000, 0.031
ridge            , LeaveOneClipOutForEachSubject, pca3, valence    , True, True, 0.171, 0.000, 0.026
linear_regression, LeaveOneClipOutForEachSubject, pca4, valence    , True, True, 0.164, 0.000, 0.019
ridge            , LeaveOneClipOutForEachSubject, pca4, valence    , True, True, 0.156, 0.001, 0.023
linear_regression, LeaveOneClipOutForEachSubject, pca5, valence    , True, True, 0.146, 0.002, 0.008
ridge            , LeaveOneClipOutForEachSubject, pca5, valence    , True, True, 0.139, 0.003, 0.019
linear_regression, LeaveOneClipOutForEachSubject, pca6, valence    , True, True, 0.129, 0.005, -0.001
ridge            , LeaveOneClipOutForEachSubject, pca6, valence    , True, True, 0.118, 0.011, 0.014
linear_regression, LeaveOneClipOutForEachSubject, pca7, valence    , True, True, 0.168, 0.000, 0.010
ridge            , LeaveOneClipOutForEachSubject, pca7, valence    , True, True, 0.160, 0.001, 0.025
linear_regression, LeaveOneClipOutForEachSubject, pca8, valence    , True, True, 0.174, 0.000, 0.010
ridge            , LeaveOneClipOutForEachSubject, pca8, valence    , True, True, 0.167, 0.000, 0.027
linear_regression, LeaveOneClipOutForEachSubject, pca9, valence    , True, True, 0.166, 0.000, 0.004
ridge            , LeaveOneClipOutForEachSubject, pca9, valence    , True, True, 0.161, 0.000, 0.026
linear_regression, LeaveOneClipOutForEachSubject, pca2, arousal    , True, True, 0.071, 0.127, 0.001
ridge            , LeaveOneClipOutForEachSubject, pca2, arousal    , True, True, 0.076, 0.103, 0.006
linear_regression, LeaveOneClipOutForEachSubject, pca3, arousal    , True, True, 0.070, 0.132, -0.003
ridge            , LeaveOneClipOutForEachSubject, pca3, arousal    , True, True, 0.072, 0.118, 0.005
linear_regression, LeaveOneClipOutForEachSubject, pca4, arousal    , True, True, 0.061, 0.189, -0.008
ridge            , LeaveOneClipOutForEachSubject, pca4, arousal    , True, True, 0.063, 0.173, 0.003
linear_regression, LeaveOneClipOutForEachSubject, pca5, arousal    , True, True, 0.060, 0.196, -0.013
ridge            , LeaveOneClipOutForEachSubject, pca5, arousal    , True, True, 0.065, 0.158, 0.003
linear_regression, LeaveOneClipOutForEachSubject, pca6, arousal    , True, True, 0.028, 0.544, -0.027
ridge            , LeaveOneClipOutForEachSubject, pca6, arousal    , True, True, 0.038, 0.415, -0.003
linear_regression, LeaveOneClipOutForEachSubject, pca7, arousal    , True, True, 0.042, 0.370, -0.028
ridge            , LeaveOneClipOutForEachSubject, pca7, arousal    , True, True, 0.056, 0.225, -0.000
linear_regression, LeaveOneClipOutForEachSubject, pca8, arousal    , True, True, 0.023, 0.618, -0.038
ridge            , LeaveOneClipOutForEachSubject, pca8, arousal    , True, True, 0.040, 0.393, -0.004
linear_regression, LeaveOneClipOutForEachSubject, pca9, arousal    , True, True, 0.010, 0.837, -0.047
ridge            , LeaveOneClipOutForEachSubject, pca9, arousal    , True, True, 0.032, 0.485, -0.006
linear_regression, LeaveOneClipOutForEachSubject, pca2, likeability, True, True, 0.197, 0.000, 0.038
ridge            , LeaveOneClipOutForEachSubject, pca2, likeability, True, True, 0.186, 0.000, 0.028
linear_regression, LeaveOneClipOutForEachSubject, pca3, likeability, True, True, 0.182, 0.000, 0.030
ridge            , LeaveOneClipOutForEachSubject, pca3, likeability, True, True, 0.172, 0.000, 0.026
linear_regression, LeaveOneClipOutForEachSubject, pca4, likeability, True, True, 0.158, 0.001, 0.017
ridge            , LeaveOneClipOutForEachSubject, pca4, likeability, True, True, 0.153, 0.001, 0.022
linear_regression, LeaveOneClipOutForEachSubject, pca5, likeability, True, True, 0.147, 0.001, 0.010
ridge            , LeaveOneClipOutForEachSubject, pca5, likeability, True, True, 0.143, 0.002, 0.020
linear_regression, LeaveOneClipOutForEachSubject, pca6, likeability, True, True, 0.138, 0.003, 0.004
ridge            , LeaveOneClipOutForEachSubject, pca6, likeability, True, True, 0.130, 0.005, 0.017
linear_regression, LeaveOneClipOutForEachSubject, pca7, likeability, True, True, 0.174, 0.000, 0.013
ridge            , LeaveOneClipOutForEachSubject, pca7, likeability, True, True, 0.168, 0.000, 0.028
linear_regression, LeaveOneClipOutForEachSubject, pca8, likeability, True, True, 0.180, 0.000, 0.012
ridge            , LeaveOneClipOutForEachSubject, pca8, likeability, True, True, 0.174, 0.000, 0.030
linear_regression, LeaveOneClipOutForEachSubject, pca9, likeability, True, True, 0.173, 0.000, 0.006
ridge            , LeaveOneClipOutForEachSubject, pca9, likeability, True, True, 0.168, 0.000, 0.028
linear_regression, LeaveOneClipOutForEachSubject, pca2, rewatch    , True, True, 0.272, 0.000, 0.074
ridge            , LeaveOneClipOutForEachSubject, pca2, rewatch    , True, True, 0.263, 0.000, 0.056
linear_regression, LeaveOneClipOutForEachSubject, pca3, rewatch    , True, True, 0.260, 0.000, 0.066
ridge            , LeaveOneClipOutForEachSubject, pca3, rewatch    , True, True, 0.253, 0.000, 0.054
linear_regression, LeaveOneClipOutForEachSubject, pca4, rewatch    , True, True, 0.239, 0.000, 0.052
ridge            , LeaveOneClipOutForEachSubject, pca4, rewatch    , True, True, 0.239, 0.000, 0.051
linear_regression, LeaveOneClipOutForEachSubject, pca5, rewatch    , True, True, 0.235, 0.000, 0.048
ridge            , LeaveOneClipOutForEachSubject, pca5, rewatch    , True, True, 0.236, 0.000, 0.051
linear_regression, LeaveOneClipOutForEachSubject, pca6, rewatch    , True, True, 0.231, 0.000, 0.043
ridge            , LeaveOneClipOutForEachSubject, pca6, rewatch    , True, True, 0.230, 0.000, 0.050
linear_regression, LeaveOneClipOutForEachSubject, pca7, rewatch    , True, True, 0.247, 0.000, 0.046
ridge            , LeaveOneClipOutForEachSubject, pca7, rewatch    , True, True, 0.247, 0.000, 0.057
linear_regression, LeaveOneClipOutForEachSubject, pca8, rewatch    , True, True, 0.256, 0.000, 0.050
ridge            , LeaveOneClipOutForEachSubject, pca8, rewatch    , True, True, 0.255, 0.000, 0.061
linear_regression, LeaveOneClipOutForEachSubject, pca9, rewatch    , True, True, 0.246, 0.000, 0.041
ridge            , LeaveOneClipOutForEachSubject, pca9, rewatch    , True, True, 0.247, 0.000, 0.058
linear_regression, LeaveOneClipOutForAllSubject, pca2, valence    , True, True, 0.190, 0.000, 0.035
ridge            , LeaveOneClipOutForAllSubject, pca2, valence    , True, True, 0.168, 0.000, 0.024
linear_regression, LeaveOneClipOutForAllSubject, pca3, valence    , True, True, 0.186, 0.000, 0.033
ridge            , LeaveOneClipOutForAllSubject, pca3, valence    , True, True, 0.163, 0.000, 0.023
linear_regression, LeaveOneClipOutForAllSubject, pca4, valence    , True, True, 0.175, 0.000, 0.026
ridge            , LeaveOneClipOutForAllSubject, pca4, valence    , True, True, 0.157, 0.001, 0.023
linear_regression, LeaveOneClipOutForAllSubject, pca5, valence    , True, True, 0.158, 0.001, 0.018
ridge            , LeaveOneClipOutForAllSubject, pca5, valence    , True, True, 0.141, 0.002, 0.019
linear_regression, LeaveOneClipOutForAllSubject, pca6, valence    , True, True, 0.142, 0.002, 0.010
ridge            , LeaveOneClipOutForAllSubject, pca6, valence    , True, True, 0.122, 0.008, 0.015
linear_regression, LeaveOneClipOutForAllSubject, pca7, valence    , True, True, 0.187, 0.000, 0.026
ridge            , LeaveOneClipOutForAllSubject, pca7, valence    , True, True, 0.170, 0.000, 0.028
linear_regression, LeaveOneClipOutForAllSubject, pca8, valence    , True, True, 0.189, 0.000, 0.024
ridge            , LeaveOneClipOutForAllSubject, pca8, valence    , True, True, 0.174, 0.000, 0.029
linear_regression, LeaveOneClipOutForAllSubject, pca9, valence    , True, True, 0.180, 0.000, 0.018
ridge            , LeaveOneClipOutForAllSubject, pca9, valence    , True, True, 0.165, 0.000, 0.027
linear_regression, LeaveOneClipOutForAllSubject, pca2, arousal    , True, True, 0.059, 0.206, -0.002
ridge            , LeaveOneClipOutForAllSubject, pca2, arousal    , True, True, 0.056, 0.226, 0.003
linear_regression, LeaveOneClipOutForAllSubject, pca3, arousal    , True, True, 0.054, 0.246, -0.007
ridge            , LeaveOneClipOutForAllSubject, pca3, arousal    , True, True, 0.048, 0.305, 0.001
linear_regression, LeaveOneClipOutForAllSubject, pca4, arousal    , True, True, 0.040, 0.384, -0.014
ridge            , LeaveOneClipOutForAllSubject, pca4, arousal    , True, True, 0.032, 0.493, -0.002
linear_regression, LeaveOneClipOutForAllSubject, pca5, arousal    , True, True, 0.045, 0.330, -0.016
ridge            , LeaveOneClipOutForAllSubject, pca5, arousal    , True, True, 0.040, 0.386, -0.001
linear_regression, LeaveOneClipOutForAllSubject, pca6, arousal    , True, True, 0.027, 0.555, -0.025
ridge            , LeaveOneClipOutForAllSubject, pca6, arousal    , True, True, 0.027, 0.553, -0.004
linear_regression, LeaveOneClipOutForAllSubject, pca7, arousal    , True, True, 0.044, 0.342, -0.025
ridge            , LeaveOneClipOutForAllSubject, pca7, arousal    , True, True, 0.050, 0.277, -0.001
linear_regression, LeaveOneClipOutForAllSubject, pca8, arousal    , True, True, 0.029, 0.534, -0.033
ridge            , LeaveOneClipOutForAllSubject, pca8, arousal    , True, True, 0.038, 0.417, -0.004
linear_regression, LeaveOneClipOutForAllSubject, pca9, arousal    , True, True, 0.012, 0.792, -0.042
ridge            , LeaveOneClipOutForAllSubject, pca9, arousal    , True, True, 0.026, 0.568, -0.008
linear_regression, LeaveOneClipOutForAllSubject, pca2, likeability, True, True, 0.191, 0.000, 0.036
ridge            , LeaveOneClipOutForAllSubject, pca2, likeability, True, True, 0.173, 0.000, 0.025
linear_regression, LeaveOneClipOutForAllSubject, pca3, likeability, True, True, 0.180, 0.000, 0.030
ridge            , LeaveOneClipOutForAllSubject, pca3, likeability, True, True, 0.158, 0.001, 0.022
linear_regression, LeaveOneClipOutForAllSubject, pca4, likeability, True, True, 0.166, 0.000, 0.023
ridge            , LeaveOneClipOutForAllSubject, pca4, likeability, True, True, 0.150, 0.001, 0.021
linear_regression, LeaveOneClipOutForAllSubject, pca5, likeability, True, True, 0.154, 0.001, 0.016
ridge            , LeaveOneClipOutForAllSubject, pca5, likeability, True, True, 0.139, 0.003, 0.019
linear_regression, LeaveOneClipOutForAllSubject, pca6, likeability, True, True, 0.141, 0.002, 0.009
ridge            , LeaveOneClipOutForAllSubject, pca6, likeability, True, True, 0.123, 0.008, 0.015
linear_regression, LeaveOneClipOutForAllSubject, pca7, likeability, True, True, 0.188, 0.000, 0.027
ridge            , LeaveOneClipOutForAllSubject, pca7, likeability, True, True, 0.172, 0.000, 0.028
linear_regression, LeaveOneClipOutForAllSubject, pca8, likeability, True, True, 0.191, 0.000, 0.026
ridge            , LeaveOneClipOutForAllSubject, pca8, likeability, True, True, 0.176, 0.000, 0.030
linear_regression, LeaveOneClipOutForAllSubject, pca9, likeability, True, True, 0.183, 0.000, 0.019
ridge            , LeaveOneClipOutForAllSubject, pca9, likeability, True, True, 0.168, 0.000, 0.028
linear_regression, LeaveOneClipOutForAllSubject, pca2, rewatch    , True, True, 0.272, 0.000, 0.074
ridge            , LeaveOneClipOutForAllSubject, pca2, rewatch    , True, True, 0.257, 0.000, 0.054
linear_regression, LeaveOneClipOutForAllSubject, pca3, rewatch    , True, True, 0.262, 0.000, 0.068
ridge            , LeaveOneClipOutForAllSubject, pca3, rewatch    , True, True, 0.246, 0.000, 0.051
linear_regression, LeaveOneClipOutForAllSubject, pca4, rewatch    , True, True, 0.252, 0.000, 0.062
ridge            , LeaveOneClipOutForAllSubject, pca4, rewatch    , True, True, 0.241, 0.000, 0.051
linear_regression, LeaveOneClipOutForAllSubject, pca5, rewatch    , True, True, 0.246, 0.000, 0.057
ridge            , LeaveOneClipOutForAllSubject, pca5, rewatch    , True, True, 0.237, 0.000, 0.050
linear_regression, LeaveOneClipOutForAllSubject, pca6, rewatch    , True, True, 0.242, 0.000, 0.054
ridge            , LeaveOneClipOutForAllSubject, pca6, rewatch    , True, True, 0.232, 0.000, 0.049
linear_regression, LeaveOneClipOutForAllSubject, pca7, rewatch    , True, True, 0.268, 0.000, 0.067
ridge            , LeaveOneClipOutForAllSubject, pca7, rewatch    , True, True, 0.258, 0.000, 0.060
linear_regression, LeaveOneClipOutForAllSubject, pca8, rewatch    , True, True, 0.273, 0.000, 0.068
ridge            , LeaveOneClipOutForAllSubject, pca8, rewatch    , True, True, 0.264, 0.000, 0.063
linear_regression, LeaveOneClipOutForAllSubject, pca9, rewatch    , True, True, 0.264, 0.000, 0.060
ridge            , LeaveOneClipOutForAllSubject, pca9, rewatch    , True, True, 0.254, 0.000, 0.060
linear_regression, LeaveOneSubjOut, pca2, valence    , True, True, 0.202, 0.000, 0.041
ridge            , LeaveOneSubjOut, pca2, valence    , True, True, 0.192, 0.000, 0.029
linear_regression, LeaveOneSubjOut, pca3, valence    , True, True, 0.197, 0.000, 0.037
ridge            , LeaveOneSubjOut, pca3, valence    , True, True, 0.186, 0.000, 0.028
linear_regression, LeaveOneSubjOut, pca4, valence    , True, True, 0.187, 0.000, 0.031
ridge            , LeaveOneSubjOut, pca4, valence    , True, True, 0.180, 0.000, 0.028
linear_regression, LeaveOneSubjOut, pca5, valence    , True, True, 0.169, 0.000, 0.021
ridge            , LeaveOneSubjOut, pca5, valence    , True, True, 0.162, 0.000, 0.024
linear_regression, LeaveOneSubjOut, pca6, valence    , True, True, 0.160, 0.001, 0.016
ridge            , LeaveOneSubjOut, pca6, valence    , True, True, 0.149, 0.001, 0.021
linear_regression, LeaveOneSubjOut, pca7, valence    , True, True, 0.192, 0.000, 0.025
ridge            , LeaveOneSubjOut, pca7, valence    , True, True, 0.183, 0.000, 0.032
linear_regression, LeaveOneSubjOut, pca8, valence    , True, True, 0.194, 0.000, 0.024
ridge            , LeaveOneSubjOut, pca8, valence    , True, True, 0.187, 0.000, 0.033
linear_regression, LeaveOneSubjOut, pca9, valence    , True, True, 0.186, 0.000, 0.018
ridge            , LeaveOneSubjOut, pca9, valence    , True, True, 0.180, 0.000, 0.031
linear_regression, LeaveOneSubjOut, pca2, arousal    , True, True, 0.078, 0.090, 0.002
ridge            , LeaveOneSubjOut, pca2, arousal    , True, True, 0.087, 0.059, 0.008
linear_regression, LeaveOneSubjOut, pca3, arousal    , True, True, 0.081, 0.081, 0.000
ridge            , LeaveOneSubjOut, pca3, arousal    , True, True, 0.087, 0.061, 0.007
linear_regression, LeaveOneSubjOut, pca4, arousal    , True, True, 0.071, 0.126, -0.006
ridge            , LeaveOneSubjOut, pca4, arousal    , True, True, 0.078, 0.094, 0.006
linear_regression, LeaveOneSubjOut, pca5, arousal    , True, True, 0.073, 0.113, -0.008
ridge            , LeaveOneSubjOut, pca5, arousal    , True, True, 0.082, 0.077, 0.006
linear_regression, LeaveOneSubjOut, pca6, arousal    , True, True, 0.055, 0.238, -0.018
ridge            , LeaveOneSubjOut, pca6, arousal    , True, True, 0.067, 0.151, 0.003
linear_regression, LeaveOneSubjOut, pca7, arousal    , True, True, 0.066, 0.155, -0.018
ridge            , LeaveOneSubjOut, pca7, arousal    , True, True, 0.081, 0.080, 0.005
linear_regression, LeaveOneSubjOut, pca8, arousal    , True, True, 0.047, 0.314, -0.029
ridge            , LeaveOneSubjOut, pca8, arousal    , True, True, 0.065, 0.159, 0.002
linear_regression, LeaveOneSubjOut, pca9, arousal    , True, True, 0.032, 0.486, -0.038
ridge            , LeaveOneSubjOut, pca9, arousal    , True, True, 0.057, 0.221, -0.001
linear_regression, LeaveOneSubjOut, pca2, likeability, True, True, 0.206, 0.000, 0.042
ridge            , LeaveOneSubjOut, pca2, likeability, True, True, 0.198, 0.000, 0.030
linear_regression, LeaveOneSubjOut, pca3, likeability, True, True, 0.193, 0.000, 0.036
ridge            , LeaveOneSubjOut, pca3, likeability, True, True, 0.183, 0.000, 0.028
linear_regression, LeaveOneSubjOut, pca4, likeability, True, True, 0.182, 0.000, 0.030
ridge            , LeaveOneSubjOut, pca4, likeability, True, True, 0.176, 0.000, 0.027
linear_regression, LeaveOneSubjOut, pca5, likeability, True, True, 0.169, 0.000, 0.022
ridge            , LeaveOneSubjOut, pca5, likeability, True, True, 0.163, 0.000, 0.025
linear_regression, LeaveOneSubjOut, pca6, likeability, True, True, 0.163, 0.000, 0.019
ridge            , LeaveOneSubjOut, pca6, likeability, True, True, 0.154, 0.001, 0.023
linear_regression, LeaveOneSubjOut, pca7, likeability, True, True, 0.193, 0.000, 0.025
ridge            , LeaveOneSubjOut, pca7, likeability, True, True, 0.186, 0.000, 0.033
linear_regression, LeaveOneSubjOut, pca8, likeability, True, True, 0.197, 0.000, 0.025
ridge            , LeaveOneSubjOut, pca8, likeability, True, True, 0.190, 0.000, 0.035
linear_regression, LeaveOneSubjOut, pca9, likeability, True, True, 0.191, 0.000, 0.020
ridge            , LeaveOneSubjOut, pca9, likeability, True, True, 0.184, 0.000, 0.033
linear_regression, LeaveOneSubjOut, pca2, rewatch    , True, True, 0.280, 0.000, 0.078
ridge            , LeaveOneSubjOut, pca2, rewatch    , True, True, 0.272, 0.000, 0.059
linear_regression, LeaveOneSubjOut, pca3, rewatch    , True, True, 0.269, 0.000, 0.071
ridge            , LeaveOneSubjOut, pca3, rewatch    , True, True, 0.261, 0.000, 0.056
