Start Time: 16:33:20,,,,,,,,,,,,,,,,,,
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=30, hl_margins=(7, 0) ,,,,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca10, likeability, True, True,0.079,0.087,0.004,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca11, likeability, True, True,0.079,0.088,-0.025,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca11, likeability, True, True,0.092,0.046,0.007,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca2, rewatch    , True, True,0.167,0,0.028,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca2, rewatch    , True, True,0.162,0,0.021,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca3, rewatch    , True, True,0.166,0,0.026,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca3, rewatch    , True, True,0.164,0,0.024,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca4, rewatch    , True, True,0.177,0,0.029,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca4, rewatch    , True, True,0.181,0,0.03,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca5, rewatch    , True, True,0.158,0.001,0.02,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca5, rewatch    , True, True,0.166,0,0.026,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca6, rewatch    , True, True,0.142,0.002,0.01,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca6, rewatch    , True, True,0.155,0.001,0.023,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca7, rewatch    , True, True,0.134,0.004,0.006,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca7, rewatch    , True, True,0.157,0.001,0.024,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca8, rewatch    , True, True,0.123,0.008,-0.001,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca8, rewatch    , True, True,0.149,0.001,0.022,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca9, rewatch    , True, True,0.103,0.025,-0.011,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca9, rewatch    , True, True,0.134,0.004,0.018,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca10, rewatch    , True, True,0.094,0.041,-0.018,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca10, rewatch    , True, True,0.127,0.006,0.016,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca11, rewatch    , True, True,0.108,0.02,-0.015,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca11, rewatch    , True, True,0.137,0.003,0.019,,,,,,,,,,
Start Time: 17:26:09,,,,,,,,,,,,,,,,,,
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=30, hl_margins=(3, 0) ,,,,,,,,,,,,,
run_features=True, with: is_hl=True , specific_blendshapes=False ,,,,,,,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca2, valence    , True, True,0.122,0.008,0.012,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca2, valence    , True, True,0.12,0.009,0.013,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca3, valence    , True, True,0.141,0.002,0.014,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca3, valence    , True, True,0.135,0.004,0.017,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca4, valence    , True, True,0.112,0.015,0.001,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca4, valence    , True, True,0.107,0.021,0.011,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca5, valence    , True, True,0.156,0.001,0.014,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca5, valence    , True, True,0.144,0.002,0.02,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca6, valence    , True, True,0.177,0,0.022,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca6, valence    , True, True,0.172,0,0.028,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca7, valence    , True, True,0.181,0,0.018,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca7, valence    , True, True,0.181,0,0.032,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca8, valence    , True, True,0.192,0,0.019,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca8, valence    , True, True,0.19,0,0.035,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca9, valence    , True, True,0.177,0,0.007,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca9, valence    , True, True,0.176,0,0.031,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca10, valence    , True, True,0.162,0,-0.005,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca10, valence    , True, True,0.164,0,0.027,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca11, valence    , True, True,0.181,0,0.004,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca11, valence    , True, True,0.183,0,0.033,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca2, arousal    , True, True,0.121,0.009,0.013,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca2, arousal    , True, True,0.12,0.009,0.013,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca3, arousal    , True, True,0.105,0.023,0.007,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca3, arousal    , True, True,0.112,0.015,0.012,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca4, arousal    , True, True,0.092,0.048,-0.003,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca4, arousal    , True, True,0.106,0.021,0.011,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca5, arousal    , True, True,0.097,0.036,-0.003,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca5, arousal    , True, True,0.114,0.014,0.013,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca6, arousal    , True, True,0.11,0.017,-0.002,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca6, arousal    , True, True,0.12,0.009,0.014,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca7, arousal    , True, True,0.117,0.011,-0.004,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca7, arousal    , True, True,0.131,0.005,0.017,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca8, arousal    , True, True,0.161,0,0.013,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca8, arousal    , True, True,0.161,0,0.025,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca9, arousal    , True, True,0.137,0.003,-0.001,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca9, arousal    , True, True,0.141,0.002,0.02,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca10, arousal    , True, True,0.155,0.001,0.006,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca10, arousal    , True, True,0.15,0.001,0.023,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca11, arousal    , True, True,0.16,0,0.005,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca11, arousal    , True, True,0.156,0.001,0.024,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca2, likeability, True, True,0.119,0.01,0.012,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca2, likeability, True, True,0.117,0.011,0.013,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca3, likeability, True, True,0.136,0.003,0.014,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca3, likeability, True, True,0.127,0.006,0.015,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca4, likeability, True, True,0.11,0.017,0.003,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca4, likeability, True, True,0.104,0.024,0.011,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca5, likeability, True, True,0.157,0.001,0.017,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca5, likeability, True, True,0.147,0.001,0.021,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca6, likeability, True, True,0.167,0,0.019,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca6, likeability, True, True,0.166,0,0.026,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca7, likeability, True, True,0.174,0,0.016,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca7, likeability, True, True,0.176,0,0.03,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca8, likeability, True, True,0.176,0,0.012,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca8, likeability, True, True,0.18,0,0.032,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca9, likeability, True, True,0.166,0,0.005,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca9, likeability, True, True,0.17,0,0.029,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca10, likeability, True, True,0.151,0.001,-0.006,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca10, likeability, True, True,0.158,0.001,0.025,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca11, likeability, True, True,0.175,0,0.005,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca11, likeability, True, True,0.181,0,0.032,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca2, rewatch    , True, True,0.164,0,0.026,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca2, rewatch    , True, True,0.167,0,0.025,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca3, rewatch    , True, True,0.206,0,0.041,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca3, rewatch    , True, True,0.204,0,0.036,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca4, rewatch    , True, True,0.188,0,0.03,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca4, rewatch    , True, True,0.188,0,0.033,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca5, rewatch    , True, True,0.221,0,0.043,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca5, rewatch    , True, True,0.218,0,0.043,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca6, rewatch    , True, True,0.22,0,0.041,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca6, rewatch    , True, True,0.222,0,0.045,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca7, rewatch    , True, True,0.219,0,0.036,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca7, rewatch    , True, True,0.228,0,0.049,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca8, rewatch    , True, True,0.217,0,0.032,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca8, rewatch    , True, True,0.229,0,0.05,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca9, rewatch    , True, True,0.207,0,0.024,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca9, rewatch    , True, True,0.221,0,0.047,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca10, rewatch    , True, True,0.202,0,0.019,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca10, rewatch    , True, True,0.216,0,0.046,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca11, rewatch    , True, True,0.203,0,0.017,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca11, rewatch    , True, True,0.213,0,0.045,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca2, valence    , True, True,0.113,0.015,0.01,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca2, valence    , True, True,0.101,0.029,0.01,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca3, valence    , True, True,0.143,0.002,0.017,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca3, valence    , True, True,0.126,0.006,0.015,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca4, valence    , True, True,0.122,0.008,0.008,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca4, valence    , True, True,0.105,0.023,0.011,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca5, valence    , True, True,0.161,0,0.02,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca5, valence    , True, True,0.139,0.003,0.019,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca6, valence    , True, True,0.181,0,0.027,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca6, valence    , True, True,0.169,0,0.027,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca7, valence    , True, True,0.196,0,0.031,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca7, valence    , True, True,0.184,0,0.032,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca8, valence    , True, True,0.214,0,0.037,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca8, valence    , True, True,0.202,0,0.038,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca9, valence    , True, True,0.202,0,0.029,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca9, valence    , True, True,0.191,0,0.035,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca10, valence    , True, True,0.193,0,0.022,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca10, valence    , True, True,0.18,0,0.032,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca11, valence    , True, True,0.206,0,0.028,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca11, valence    , True, True,0.2,0,0.038,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca2, arousal    , True, True,0.106,0.022,0.009,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca2, arousal    , True, True,0.096,0.037,0.009,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca3, arousal    , True, True,0.088,0.056,0.001,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca3, arousal    , True, True,0.088,0.058,0.008,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca4, arousal    , True, True,0.097,0.035,0,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca4, arousal    , True, True,0.101,0.029,0.01,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca5, arousal    , True, True,0.099,0.032,-0.001,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca5, arousal    , True, True,0.107,0.02,0.011,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca6, arousal    , True, True,0.109,0.019,-0.001,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca6, arousal    , True, True,0.11,0.017,0.012,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca7, arousal    , True, True,0.12,0.01,0,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca7, arousal    , True, True,0.123,0.008,0.015,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca8, arousal    , True, True,0.162,0,0.014,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca8, arousal    , True, True,0.156,0.001,0.024,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca9, arousal    , True, True,0.144,0.002,0.004,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca9, arousal    , True, True,0.14,0.002,0.02,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca10, arousal    , True, True,0.161,0,0.01,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca10, arousal    , True, True,0.147,0.001,0.022,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca11, arousal    , True, True,0.163,0,0.008,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca11, arousal    , True, True,0.151,0.001,0.023,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca2, likeability, True, True,0.106,0.021,0.009,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca2, likeability, True, True,0.095,0.04,0.009,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca3, likeability, True, True,0.132,0.004,0.014,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca3, likeability, True, True,0.114,0.014,0.012,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca4, likeability, True, True,0.112,0.015,0.006,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca4, likeability, True, True,0.095,0.04,0.009,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca5, likeability, True, True,0.157,0.001,0.019,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca5, likeability, True, True,0.138,0.003,0.018,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca6, likeability, True, True,0.167,0,0.022,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca6, likeability, True, True,0.158,0.001,0.024,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca7, likeability, True, True,0.185,0,0.027,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca7, likeability, True, True,0.177,0,0.03,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca8, likeability, True, True,0.197,0,0.03,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca8, likeability, True, True,0.187,0,0.033,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca9, likeability, True, True,0.189,0,0.025,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca9, likeability, True, True,0.182,0,0.032,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca10, likeability, True, True,0.176,0,0.016,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca10, likeability, True, True,0.171,0,0.029,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca11, likeability, True, True,0.196,0,0.025,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca11, likeability, True, True,0.192,0,0.036,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca2, rewatch    , True, True,0.157,0.001,0.023,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca2, rewatch    , True, True,0.155,0.001,0.022,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca3, rewatch    , True, True,0.209,0,0.043,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca3, rewatch    , True, True,0.198,0,0.034,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca4, rewatch    , True, True,0.196,0,0.036,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca4, rewatch    , True, True,0.187,0,0.032,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca5, rewatch    , True, True,0.228,0,0.049,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca5, rewatch    , True, True,0.215,0,0.042,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca6, rewatch    , True, True,0.23,0,0.05,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca6, rewatch    , True, True,0.219,0,0.044,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca7, rewatch    , True, True,0.236,0,0.05,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca7, rewatch    , True, True,0.231,0,0.049,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca8, rewatch    , True, True,0.238,0,0.05,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca8, rewatch    , True, True,0.237,0,0.052,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca9, rewatch    , True, True,0.232,0,0.045,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca9, rewatch    , True, True,0.234,0,0.051,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca10, rewatch    , True, True,0.226,0,0.041,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca10, rewatch    , True, True,0.229,0,0.05,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca11, rewatch    , True, True,0.227,0,0.04,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca11, rewatch    , True, True,0.228,0,0.05,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca2, valence    , True, True,0.126,0.006,0.014,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca2, valence    , True, True,0.127,0.006,0.015,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca3, valence    , True, True,0.154,0.001,0.02,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca3, valence    , True, True,0.151,0.001,0.02,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca4, valence    , True, True,0.129,0.005,0.009,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca4, valence    , True, True,0.127,0.006,0.016,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca5, valence    , True, True,0.167,0,0.021,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca5, valence    , True, True,0.156,0.001,0.023,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca6, valence    , True, True,0.191,0,0.03,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca6, valence    , True, True,0.191,0,0.033,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca7, valence    , True, True,0.201,0,0.031,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca7, valence    , True, True,0.201,0,0.038,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca8, valence    , True, True,0.216,0,0.036,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca8, valence    , True, True,0.214,0,0.042,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca9, valence    , True, True,0.203,0,0.026,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca9, valence    , True, True,0.203,0,0.039,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca10, valence    , True, True,0.193,0,0.017,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca10, valence    , True, True,0.193,0,0.036,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca11, valence    , True, True,0.207,0,0.024,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca11, valence    , True, True,0.209,0,0.042,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca2, arousal    , True, True,0.126,0.006,0.015,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca2, arousal    , True, True,0.129,0.005,0.015,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca3, arousal    , True, True,0.112,0.015,0.009,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca3, arousal    , True, True,0.122,0.008,0.014,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca4, arousal    , True, True,0.115,0.013,0.006,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca4, arousal    , True, True,0.129,0.005,0.016,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca5, arousal    , True, True,0.122,0.008,0.007,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca5, arousal    , True, True,0.137,0.003,0.019,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca6, arousal    , True, True,0.134,0.004,0.008,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca6, arousal    , True, True,0.145,0.002,0.021,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca7, arousal    , True, True,0.14,0.002,0.006,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca7, arousal    , True, True,0.155,0.001,0.024,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca8, arousal    , True, True,0.181,0,0.022,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca8, arousal    , True, True,0.183,0,0.032,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca9, arousal    , True, True,0.164,0,0.013,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca9, arousal    , True, True,0.168,0,0.028,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca10, arousal    , True, True,0.18,0,0.019,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca10, arousal    , True, True,0.176,0,0.03,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca11, arousal    , True, True,0.179,0,0.015,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca11, arousal    , True, True,0.178,0,0.031,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca2, likeability, True, True,0.124,0.007,0.014,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca2, likeability, True, True,0.125,0.007,0.014,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca3, likeability, True, True,0.148,0.001,0.02,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca3, likeability, True, True,0.143,0.002,0.018,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca4, likeability, True, True,0.125,0.007,0.01,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca4, likeability, True, True,0.123,0.008,0.014,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca5, likeability, True, True,0.166,0,0.022,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca5, likeability, True, True,0.16,0.001,0.024,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca6, likeability, True, True,0.179,0,0.026,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca6, likeability, True, True,0.183,0,0.03,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca7, likeability, True, True,0.191,0,0.027,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca7, likeability, True, True,0.195,0,0.035,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca8, likeability, True, True,0.199,0,0.028,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca8, likeability, True, True,0.2,0,0.038,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca9, likeability, True, True,0.19,0,0.021,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca9, likeability, True, True,0.195,0,0.036,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca10, likeability, True, True,0.178,0,0.012,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca10, likeability, True, True,0.186,0,0.034,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca11, likeability, True, True,0.2,0,0.023,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca11, likeability, True, True,0.207,0,0.041,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca2, rewatch    , True, True,0.171,0,0.028,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca2, rewatch    , True, True,0.175,0,0.027,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca3, rewatch    , True, True,0.218,0,0.047,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca3, rewatch    , True, True,0.218,0,0.04,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca4, rewatch    , True, True,0.203,0,0.038,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca4, rewatch    , True, True,0.205,0,0.037,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca5, rewatch    , True, True,0.234,0,0.051,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca5, rewatch    , True, True,0.229,0,0.046,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca6, rewatch    , True, True,0.236,0,0.052,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca6, rewatch    , True, True,0.237,0,0.05,,,,,,,,,,
